"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","map_class"
"216","13.4447994144842","104.06725354531","50","0.00429700355408772","4.68081415664596","Siemréab","Cambodia","Forest Degradation"
"398","13.4424833688227","104.070081554428","50","0.00429700355408772","4.68081415664596","Siemréab","Cambodia","Forest Degradation"
"498","13.4477765420209","104.064553705363","46","0.00450749805603837","4.89395675245501","Siemréab","Cambodia","Forest Degradation"
"273","13.4475597511615","104.069730742629","50","0.00429700355408772","4.68081415664596","Siemréab","Cambodia","Forest Degradation"
"97","13.4459165210897","104.07036432808","50","0.00429700355408772","4.68081415664596","Siemréab","Cambodia","Forest Degradation"
"380","13.4482880678245","104.075868586209","53","0.00385933590389703","4.46378783367674","Siemréab","Cambodia","Forest Degradation"
"684","13.4471272724777","104.084291889588","57","0.0035912354046994","4.15516271312767","Siemréab","Cambodia","Forest Degradation"
"339","13.452343998512","104.072694012676","49","0.00562312858350488","5.48723274171924","Siemréab","Cambodia","Forest Degradation"
"531","13.4527320182494","104.078075042804","53","0.00660360324381468","5.15842092752878","Siemréab","Cambodia","Forest Degradation"
"205","13.4574513883591","104.050827582895","39","0.0026359292674997","4.66090237123762","Siemréab","Cambodia","Forest Degradation"
"294","13.4570736361406","104.053108940921","39","0.0026359292674997","4.66090237123762","Siemréab","Cambodia","Forest Degradation"
"453","13.4556381870817","104.078098372979","53","0.00660360324381468","5.15842092752878","Siemréab","Cambodia","Forest Degradation"
"79","13.4566382865396","104.082438597859","53","0.00660360324381468","5.15842092752878","Siemréab","Cambodia","Forest Degradation"
"443","13.454986008359","104.083581875187","57","0.00657779707561774","4.46231546357164","Siemréab","Cambodia","Forest Degradation"
"418","13.4596622075386","104.049457955538","41","0.00408160607388443","3.59863533368772","Siemréab","Cambodia","Forest Degradation"
"411","13.4617363643468","104.084108521868","61","0.0152705181948758","4.12914649777086","Siemréab","Cambodia","Forest Degradation"
"145","13.4758345895425","104.067555955698","54","0.00795508117156541","3.69141797239512","Siemréab","Cambodia","Forest Degradation"
"123","13.4744013159856","104.074452481491","47","0.00653461453650922","3.44298516159038","Siemréab","Cambodia","Forest Degradation"
"258","13.4766406977281","104.064593581517","51","0.00490281368411228","3.48759855247562","Siemréab","Cambodia","Forest Degradation"
"693","13.4788729295526","104.068729369339","54","0.00795508117156541","3.69141797239512","Siemréab","Cambodia","Forest Degradation"
"597","13.4769920039999","104.074006284344","54","0.00795508117156541","3.69141797239512","Siemréab","Cambodia","Forest Degradation"
"536","13.4795950112505","104.074488558048","54","0.00795508117156541","3.69141797239512","Siemréab","Cambodia","Forest Degradation"
"276","13.4809914250117","104.065046389578","51","0.00490281368411228","3.48759855247562","Siemréab","Cambodia","Forest Degradation"
"673","13.4815363521342","104.071877953829","54","0.00795508117156541","3.69141797239512","Siemréab","Cambodia","Forest Degradation"
"30","13.4885137802181","104.05128018171","54","0.00421134623703734","3.65776260059682","Siemréab","Cambodia","Forest Degradation"
"687","13.4883217258169","104.051407737671","54","0.00421134623703734","3.65776260059682","Siemréab","Cambodia","Forest Degradation"
"43","13.4885171100282","104.057523674972","54","0.00421134623703734","3.65776260059682","Siemréab","Cambodia","Forest Degradation"
"244","13.4888357137768","104.06347627109","55","0.00571836770265894","3.73276603003188","Siemréab","Cambodia","Forest Degradation"
"666","13.4883112179168","104.07074947186","58","0.0108589154800913","3.93761488291312","Siemréab","Cambodia","Forest Degradation"
"62","13.4880618393498","104.075911038431","70","0.0174640493903904","4.21880937936222","Siemréab","Cambodia","Forest Degradation"
"641","13.4935223590341","104.050955963113","57","0.00446022567891819","3.89415107791244","Siemréab","Cambodia","Forest Degradation"
"270","13.4900378131367","104.060180825474","55","0.00571836770265894","3.73276603003188","Siemréab","Cambodia","Forest Degradation"
"168","13.4939891625013","104.063022096761","58","0.0104713125138398","3.93763232680205","Siemréab","Cambodia","Forest Degradation"
"110","13.4910507989897","104.072643838403","58","0.0108589154800913","3.93761488291312","Siemréab","Cambodia","Forest Degradation"
"417","13.4921669744509","104.145096419259","410","0.0733752731611817","3.05854970032315","Siemréab","Cambodia","Forest Degradation"
"361","13.4967363332318","104.060049674513","58","0.0104713125138398","3.93763232680205","Siemréab","Cambodia","Forest Degradation"
"226","13.4969412837478","104.063259545118","58","0.0104713125138398","3.93763232680205","Siemréab","Cambodia","Forest Degradation"
"221","13.5010832970325","104.123899117711","293","0.151598845076696","4.20215521998437","Siemréab","Cambodia","Forest Degradation"
"438","13.4999813207083","104.125959785017","310","0.162311399493641","3.82372565061239","Siemréab","Cambodia","Forest Degradation"
"464","13.5071077086536","104.118644979103","293","0.151598845076696","4.20215521998437","Siemréab","Cambodia","Forest Degradation"
"550","13.504789029495","104.123564948384","293","0.151598845076696","4.20215521998437","Siemréab","Cambodia","Forest Degradation"
"535","13.5040368654551","104.125755294394","398","0.091775483120196","4.18234435740994","Siemréab","Cambodia","Forest Degradation"
"594","13.5076785175356","104.178463598892","141","0.0945501745595212","2.46027542479352","Siemréab","Cambodia","Forest Degradation"
"223","13.5084982582126","104.119627103873","332","0.112291685561767","4.47560116084095","Siemréab","Cambodia","Forest Degradation"
"314","13.5165191214377","104.183297544167","224","0.124706603446282","2.78826232216366","Siemréab","Cambodia","Forest Degradation"
"423","13.51956073082","104.195296449922","383","0.110439789191205","2.53369258522855","Siemréab","Cambodia","Forest Degradation"
"662","13.5324865345164","104.126991339906","395","0.0378065562289106","4.59375854672709","Siemréab","Cambodia","Forest Degradation"
