"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","map_class"
"279","1.43624719909976","16.775185155604","374","0.00978183435204358","1.07980511236887","Likouala","Republic of Congo","11"
"155","0.846424348223415","16.2002431559492","364","0.0124448660570053","1.48348583900755","Sangha","Republic of Congo","11"
"763","1.25957090477762","16.0755145621417","423","0.00827185563606755","0.89800437690695","Sangha","Republic of Congo","11"
"296","1.56016410997194","16.2235113968764","381","0.0118590374499435","5.01435707005952","Sangha","Republic of Congo","11"
"534","0.864551931254936","16.7094388469376","339","0.00394810678409811","2.60408195904224","Likouala","Republic of Congo","11"
"729","1.55718793962348","16.6867117278924","389","0.014499218123207","5.27483560935511","Sangha","Republic of Congo","11"
"638","1.06936656341704","16.6718308761367","363","0.00866232300928377","5.93384976826316","Sangha","Republic of Congo","11"
"676","0.835060788711119","16.332547456105","375","0.00994594455254821","0.762867624717798","Sangha","Republic of Congo","11"
"23","1.5588113052681","16.1569534053869","370","0.00490044336813804","2.89142881208408","Sangha","Republic of Congo","11"
"759","1.47087899951819","15.9069550958899","422","0.00720769080013974","2.85726563491036","Sangha","Republic of Congo","11"
"593","1.3312695540814","15.9840649640789","412","0.0123575995745893","2.5777799015956","Sangha","Republic of Congo","11"
"805","1.04176934745861","16.1926674496008","423","0.00191220260373106","2.35946961089172","Sangha","Republic of Congo","11"
"167","0.939767872788708","16.3558156970323","373","0.00527153152366597","1.49351938741685","Sangha","Republic of Congo","11"
"71","1.54149540505888","16.6252943942823","371","0.00418694047952418","4.45019961494777","Sangha","Republic of Congo","11"
"557","0.956813212057153","16.1837389385473","414","0.00446679819146286","2.00994965776946","Sangha","Republic of Congo","11"
"848","0.978187526377901","15.9377990431655","413","0.010370474198116","1.41317901357422","Sangha","Republic of Congo","11"
"55","1.51416875004122","16.2383922486322","399","0.0116199972726036","2.19406099657036","Sangha","Republic of Congo","11"
"822","0.864010809373398","16.3073852885907","365","0.011492846321529","0.848692345135336","Sangha","Republic of Congo","11"
"900","1.48873602160894","16.4107395680581","393","0.00725125951642454","0.130489811176647","Sangha","Republic of Congo","11"
"551","0.856976224913405","15.947268676101","433","0.00438850413515046","1.38424817200663","Sangha","Republic of Congo","11"
"275","1.34587984488292","16.4461830513309","393","0.0107172155174338","0.0125762952526844","Sangha","Republic of Congo","11"
"894","1.46086824470973","16.0592809056808","379","0.00333579921683255","1.3243096347711","Sangha","Republic of Congo","11"
"790","1.25226575937686","16.0931010233076","412","0.00497187212922808","2.3594331160961","Sangha","Republic of Congo","11"
"504","1.20599983850537","15.8812518064936","405","0.00592792565515119","0.782150175614238","Sangha","Republic of Congo","11"
"722","1.268499415823","15.888827512842","415","0.00984111323302491","3.34849379211753","Sangha","Republic of Congo","11"
"681","1.09831658407932","16.0747028793187","400","0.012376004206056","5.07074948835845","Sangha","Republic of Congo","11"
"606","1.17623813502078","15.9307644586992","418","0.00258096860851905","3.19383538944876","Sangha","Republic of Congo","11"
"802","1.5552940130381","16.2007842778312","360","0.00648489251808866","1.86801031000906","Sangha","Republic of Congo","11"
"832","1.02310064254555","15.8996499504826","401","0.0181653950682348","2.33842157058865","Sangha","Republic of Congo","11"
"874","1.17190915996848","16.6739953636648","350","0.000956122221660181","3.92373679958146","Sangha","Republic of Congo","11"
"103","1.12780772662314","15.909119583418","443","0.0065413749126688","4.04092488789242","Sangha","Republic of Congo","11"
"207","1.28256858474299","16.4616050249688","338","0.0083738178604265","4.77723269334335","Sangha","Republic of Congo","2"
"351","1.46871451199203","15.8671826375609","437","0.0133773831589435","2.59013967778109","Sangha","Republic of Congo","11"
"576","1.30610738658989","16.4537587576793","373","0.0190134518247289","2.25869154230284","Sangha","Republic of Congo","11"
"656","1.03500532393938","15.9488920417471","402","0.0173123904492329","1.88956589977791","Sangha","Republic of Congo","11"
"485","1.55664681774195","16.3560862579733","414","0.00445033566230041","1.54030974057867","Sangha","Republic of Congo","11"
"139","0.810710304041912","15.8601480530945","395","0.019698758454892","5.52050740588119","Sangha","Republic of Congo","11"
"230","0.883761758049532","16.6509976836786","366","0.00625488971959332","0.997754548720163","Sangha","Republic of Congo","11"
"739","1.14809979718081","16.6434219773302","351","0.00259284211709574","1.4131873765045","Sangha","Republic of Congo","11"
"580","1.32125879927295","16.1715636962017","380","0.00594284352246331","0.717773838569161","Sangha","Republic of Congo","11"
"588","1.0217478378417","16.2873637789557","376","0.00750146590538091","1.03986295393386","Sangha","Republic of Congo","11"
"361","1.4568098305982","16.3969409600664","385","0.00735822401895896","1.81281429203749","Sangha","Republic of Congo","11"
"243","1.22196293401074","16.5925565204196","358","0.00301765067093895","1.10454772293666","Sangha","Republic of Congo","11"
"475","1.29149709578836","15.9194008991766","403","0.0129318191674198","4.30239952731534","Sangha","Republic of Congo","11"
"41","1.06936656341704","16.4291377120471","354","0.00462126683012785","0.906580160842338","Sangha","Republic of Congo","11"
"471","0.997667914113266","16.678324338721","378","0.0128851899901769","0.386023157235228","Sangha","Republic of Congo","11"
"484","0.934897775854867","16.620153736403","366","0.00687491175385809","0.557726591938676","Sangha","Republic of Congo","11"
"675","1.11076238735469","16.755704767851","365","0.00698088404547482","1.74658922997197","Sangha","Republic of Congo","11"
"272","0.905947755192587","16.0738911964956","377","0.0139774459355563","3.17051941705767","Sangha","Republic of Congo","11"
"842","1.08614134174472","15.9948874017195","415","0.0147810465911092","1.83066720528131","Sangha","Republic of Congo","11"
"807","1.10318668101316","16.004898156537","380","0.0168383552636115","0.827568376487377","Sangha","Republic of Congo","11"
