"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GEOMETRY","AREA","map_class"
"312","1.14322970024697","16.2611193676773","399","0.00660932741696794","2.53392489035403","Sangha","Republic of Congo","points","1","11"
"586","1.50983977498892","16.4919078503623","353","0.014492208245917","1.35381964342016","Sangha","Republic of Congo","points","1","11"
"322","1.04961561474091","16.2197235437022","405","0.0113946814318791","2.49411988995212","Sangha","Republic of Congo","points","1","11"
"724","0.821532741672671","16.3184782871723","370","0.00921488516244445","3.84058987664947","Sangha","Republic of Congo","points","1","11"
"816","1.00334969386941","16.1114991672966","400","0.008561248444134","3.74406925779949","Sangha","Republic of Congo","points","1","11"
"822","0.978999209200208","16.196455302775","408","0.0172676475966781","1.52364727301187","Sangha","Republic of Congo","points","1","11"
"433","1.43516495533668","16.3796250598415","390","0.00135101924919291","0.924219462322406","Sangha","Republic of Congo","points","1","11"
"541","1.3897107172875","15.8993793895415","405","0.00242615786674448","1.57079632679489","Sangha","Republic of Congo","points","1","11"
"114","1.30042560683374","16.4515942701512","373","0.0190134518247289","2.25869154230284","Sangha","Republic of Congo","points","1","11"
"862","1.09669321843471","16.6661490963754","361","0.0105495817506872","5.57361765771761","Sangha","Republic of Congo","points","1","11"
"235","1.06557871024628","15.8769228314374","466","0.0206194767819281","0.257714121757141","Sangha","Republic of Congo","points","1","11"
"223","1.31747094610218","15.8452672013387","442","0.00422683805993818","2.45002520635104","Sangha","Republic of Congo","points","1","11"
"9","1.38402893753135","15.8674531985019","395","0.00301781013111147","4.24616696837721","Sangha","Republic of Congo","points","1","11"
"845","1.37077145143367","16.2613899286183","370","0.00365101654817052","0.887128167131588","Sangha","Republic of Congo","points","1","11"
"147","0.923263655401801","15.9107429490641","420","0.0189446012606734","1.28780269595005","Sangha","Republic of Congo","points","1","11"
"710","1.33857469948216","15.9640434544439","392","0.011770860359722","5.02879398745406","Sangha","Republic of Congo","points","1","11"
"864","1.47791358397818","15.8328213980521","456","0.00231626322780868","0.356676994402613","Sangha","Republic of Congo","points","1","11"
"539","1.57017486478039","16.5533251839725","368","0.00114744174070694","5.50095763068985","Sangha","Republic of Congo","points","1","11"
"189","0.996315109409422","16.2102539107667","405","0.0110931514541021","2.3767147343859","Sangha","Republic of Congo","points","1","11"
"390","1.1315955797939","16.2432623455704","388","0.0162065389323263","2.83758179712901","Sangha","Republic of Congo","points","1","11"
"509","1.40459156902979","15.9992163767757","424","0.00635192623639191","4.0444967494375","Sangha","Republic of Congo","points","1","11"
"454","1.31449477575372","16.0143677894725","436","0.01341203242872","5.55807296317753","Sangha","Republic of Congo","points","1","11"
"121","1.28689755979529","16.2078188622976","365","0.0106821850883949","4.2518223082118","Sangha","Republic of Congo","points","1","11"
"820","1.09425816996779","16.2208057874662","403","0.0171474084229191","2.06533021001152","Sangha","Republic of Congo","points","1","11"
"285","1.28608587697298","16.6859000450694","364","0.0084822521669521","2.68052578141402","Sangha","Republic of Congo","points","1","11"
"598","1.42298971300208","16.4074928367659","379","0.00249168580328605","3.52994827495355","Sangha","Republic of Congo","points","1","11"
"609","1.28040409721683","16.1315206769316","400","0.0112885695893855","0.525264003790422","Sangha","Republic of Congo","points","1","11"
"473","1.40594437373363","15.8528429076871","422","0.0173637080679226","3.39259878968798","Sangha","Republic of Congo","points","1","11"
"10","1.55123559892657","16.408033958648","375","0.00244179273490916","3.1415926535898","Sangha","Republic of Congo","points","1","11"
"457","1.40107427679979","16.4345489308673","360","0.00737049163426082","1.98767367820932","Sangha","Republic of Congo","points","1","11"
"713","1.33262235878524","16.7713973024298","361","0.0117551546145676","0.56909867472249","Likouala","Republic of Congo","points","1","11"
"550","1.55502345209733","16.0173439598237","397","0.00669480434984971","0.810791971040727","Sangha","Republic of Congo","points","1","11"
"495","1.05340346791167","16.2592254410902","367","0.0110042526244236","5.01273331258878","Sangha","Republic of Congo","points","1","11"
"179","1.47520797457049","16.3081969714138","386","0.00710691935513343","5.74557786439764","Sangha","Republic of Congo","points","1","11"
"87","1.46871451199203","15.8241634479396","458","0.00498909622732218","1.5436028211252","Sangha","Republic of Congo","points","1","11"
"725","0.807734133693453","16.0111210581803","372","0.0128828696660163","2.15019981532277","Sangha","Republic of Congo","points","1","11"
"40","1.3312695540814","16.1228627268192","418","0.00881201536574822","4.60442154246182","Sangha","Republic of Congo","points","1","11"
"880","1.5552940130381","16.7029453843533","409","0.00980030531669399","0.0826174430867761","Sangha","Republic of Congo","points","1","11"
"577","1.34777377146831","15.985958890666","415","0.00240259044343565","5.9988727296728","Sangha","Republic of Congo","points","1","11"
"490","1.5709865476027","16.5035419708259","370","0.0106832426563137","4.25187142727421","Sangha","Republic of Congo","points","1","11"
"462","0.903242145784898","16.3963998381844","349","0.00103207011240511","5.88067498585814","Sangha","Republic of Congo","points","1","11"
"675","1.22710359188535","15.9172364116485","394","0.0151130652570906","0.756848446095193","Sangha","Republic of Congo","points","1","11"
"756","1.09858714502009","15.9210242648227","397","0.0264184861769768","4.06165145258851","Sangha","Republic of Congo","points","1","11"
"767","1.37699435307135","15.8720527344991","421","0.0148662466592784","0.522013362934302","Sangha","Republic of Congo","points","1","11"
"418","1.51795660321198","15.9773009405536","435","0.0377730776732669","1.41582319933049","Sangha","Republic of Congo","points","1","11"
"271","1.12429043439314","16.139366944221","391","0.0082386481044245","0.851820136873107","Sangha","Republic of Congo","points","1","11"
"451","1.20004749780845","16.1058173875353","399","0.0117985974058228","1.95994710446691","Sangha","Republic of Congo","points","1","11"
